Name,CASRN_DTXSID,Identifier,SMILES_DTXSID,SMILES,MolecularFormula,MonoisotopicMass,InChI,InChIKey,DTXCID_MSready,EXPOCAST_MEDIAN_EXPOSURE_PREDICTION_MGperKG_BWperDAY,DATA_SOURCES,TOXCAST_PERCENT_ACTIVE,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT,KEMIMARKET,MASSBANKREF,NORMANPRI,STOFFIDENT,TOXCAST
"Cyclohexanecarbonyl chloride, 1-amino-, hydrochloride",41812-95-7,DTXSID6068351,Cl.NC1(CCCCC1)C(Cl)=O,NC1(CCCCC1)C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c8-6(10)7(9)4-2-1-3-5-7/h1-5,9H2",JOTOFQJAYOTZPA-UHFFFAOYSA-N,DTXCID50197833,-,5,-,-,17,-,-,-,-,-,-
1-(3-Chloropiperidin-1-yl)ethan-1-one,1039553-78-0,DTXSID60734576,CC(=O)N1CCCC(Cl)C1,CC(=O)N1CCCC(Cl)C1,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-6(10)9-4-2-3-7(8)5-9/h7H,2-5H2,1H3",LFIPHGAMSYNZIK-UHFFFAOYSA-N,DTXCID20997786,-,1,-,-,9,-,-,-,-,-,-
1-(3-chloropropyl)pyrrolidin-2-one,91152-30-6,DTXSID70455326,ClCCCN1CCCC1=O,ClCCCN1CCCC1=O,C7H12ClNO,161.0607417,InChI=1S/C7H12ClNO/c8-4-2-6-9-5-1-3-7(9)10/h1-6H2,LNLIBBYAXDZTNJ-UHFFFAOYSA-N,DTXCID60406145,-,1,-,-,22,-,-,-,-,-,-
1-Methylpiperidine-4-carbonyl chloride--hydrogen chloride (1/1),7462-84-2,DTXSID40620766,Cl.CN1CCC(CC1)C(Cl)=O,CN1CCC(CC1)C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-9-4-2-6(3-5-9)7(8)10/h6H,2-5H2,1H3",MIVZCINZDWIBJS-UHFFFAOYSA-N,DTXCID20282326,-,2,-,-,11,-,-,-,-,-,-
1-methylpiperidine-4-carbonyl chloride,41776-24-3,DTXSID70331232,CN1CCC(CC1)C(Cl)=O,CN1CCC(CC1)C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-9-4-2-6(3-5-9)7(8)10/h6H,2-5H2,1H3",MIVZCINZDWIBJS-UHFFFAOYSA-N,DTXCID20282326,-,1,-,-,25,-,-,-,-,-,-
2-Chloro-1-piperidin-1-yl-ethanone,1440-60-4,DTXSID60278546,ClCC(=O)N1CCCCC1,ClCC(=O)N1CCCCC1,C7H12ClNO,161.0607417,InChI=1S/C7H12ClNO/c8-6-7(10)9-4-2-1-3-5-9/h1-6H2,NSWLMOHUXYULKL-UHFFFAOYSA-N,DTXCID50229704,-,3,-,-,69,-,-,-,-,-,-
1-(3-CHLOROPROPANOYL)PYRROLIDINE,63177-38-8,DTXSID30390885,ClCCC(=O)N1CCCC1,ClCCC(=O)N1CCCC1,C7H12ClNO,161.0607417,InChI=1S/C7H12ClNO/c8-4-3-7(10)9-5-1-2-6-9/h1-6H2,OKNKNRRNPIUFFX-UHFFFAOYSA-N,DTXCID80341746,-,1,-,-,34,-,-,-,-,-,-
N-Hydroxycyclohexanecarboximidoyl chloride,55278-53-0,DTXSID20787720,ON=C(Cl)C1CCCCC1,ClC(N=O)C1CCCCC1,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c8-7(9-10)6-4-2-1-3-5-6/h6-7H,1-5H2",PCXQHNXBLRJLQX-UHFFFAOYSA-N,DTXCID10861604,-,1,-,-,5,-,-,-,-,-,-
1-(2-chloropropanoyl)pyrrolidine,75115-52-5,DTXSID40390937,CC(Cl)C(=O)N1CCCC1,CC(Cl)C(=O)N1CCCC1,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-6(8)7(10)9-4-2-3-5-9/h6H,2-5H2,1H3",QGMQKFMNYCEBSO-UHFFFAOYSA-N,DTXCID30821720,-,2,-,-,37,-,-,-,-,-,-
(2R)-2-Methylpiperidine-1-carbonyl chloride,168253-03-0,DTXSID10664536,C[C@@H]1CCCCN1C(Cl)=O,CC1CCCCN1C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-6-4-2-3-5-9(6)7(8)10/h6H,2-5H2,1H3",QMIKDOBDKNYLGB-UHFFFAOYSA-N,DTXCID00862660,-,1,-,-,6,-,-,-,-,-,-
2-Methylpiperidine-1-carbonyl chloride,64196-60-7,DTXSID40591705,CC1CCCCN1C(Cl)=O,CC1CCCCN1C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-6-4-2-3-5-9(6)7(8)10/h6H,2-5H2,1H3",QMIKDOBDKNYLGB-UHFFFAOYSA-N,DTXCID00862660,-,1,-,-,12,-,-,-,-,-,-
(2S)-2-Methylpiperidine-1-carbonyl chloride,168253-02-9,DTXSID70664537,C[C@H]1CCCCN1C(Cl)=O,CC1CCCCN1C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-6-4-2-3-5-9(6)7(8)10/h6H,2-5H2,1H3",QMIKDOBDKNYLGB-UHFFFAOYSA-N,DTXCID00862660,-,1,-,-,7,-,-,-,-,-,-
3-Methylpiperidine-1-carbonyl chloride,64920-80-5,DTXSID90664554,CC1CCCN(C1)C(Cl)=O,CC1CCCN(C1)C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-6-3-2-4-9(5-6)7(8)10/h6H,2-5H2,1H3",QUNRCNWRIOEOEM-UHFFFAOYSA-N,DTXCID00885899,-,1,-,-,11,-,-,-,-,-,-
3-Aminocyclohexane-1-carbonyl chloride,761353-87-1,DTXSID00607770,NC1CCCC(C1)C(Cl)=O,NC1CCCC(C1)C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c8-7(10)5-2-1-3-6(9)4-5/h5-6H,1-4,9H2",RNFQJALEDUTEBF-UHFFFAOYSA-N,DTXCID00866385,-,1,-,-,8,-,-,-,-,-,-
"Morpholine, 4-(2-chloro-2-propenyl)-",59352-41-9,DTXSID90400191,ClC(=C)CN1CCOCC1,ClC(=C)CN1CCOCC1,C7H12ClNO,161.0607417,InChI=1S/C7H12ClNO/c1-7(8)6-9-2-4-10-5-3-9/h1-6H2,RNKPOBBNJALZMM-UHFFFAOYSA-N,DTXCID80351047,-,2,-,-,13,-,-,-,-,-,-
"(2S,4R)-2,4-Dimethylpyrrolidine-1-carbonyl chloride",73291-04-0,DTXSID50703610,C[C@@H]1C[C@H](C)N(C1)C(Cl)=O,CC1CC(C)N(C1)C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-5-3-6(2)9(4-5)7(8)10/h5-6H,3-4H2,1-2H3",SIQKTWNLFWXTDW-UHFFFAOYSA-N,DTXCID20885896,-,1,-,-,4,-,-,-,-,-,-
"2,4-Dimethylpyrrolidine-1-carbonyl chloride",89629-91-4,DTXSID60664546,CC1CC(C)N(C1)C(Cl)=O,CC1CC(C)N(C1)C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-5-3-6(2)9(4-5)7(8)10/h5-6H,3-4H2,1-2H3",SIQKTWNLFWXTDW-UHFFFAOYSA-N,DTXCID20885896,-,1,-,-,10,-,-,-,-,-,-
2-chloro-N-cyclopentylacetamide,125674-23-9,DTXSID30363998,ClCC(=O)NC1CCCC1,ClCC(=O)NC1CCCC1,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c8-5-7(10)9-6-3-1-2-4-6/h6H,1-5H2,(H,9,10)",SQWLIYWNXLKVGA-UHFFFAOYSA-N,DTXCID40315044,-,2,-,-,47,-,-,-,-,-,-
SCHEMBL4585549,221196-91-4,DTXSID00459731,CC(C)[C@H]1COC(CCl)=N1,CC(C)C1COC(CCl)=N1,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-5(2)6-4-10-7(3-8)9-6/h5-6H,3-4H2,1-2H3",STHGZAOXDUOTAD-UHFFFAOYSA-N,DTXCID501004404,-,1,-,-,9,-,-,-,-,-,-
"(2R,5S)-2,5-Dimethylpyrrolidine-1-carbonyl chloride",73301-09-4,DTXSID30533932,C[C@H]1CC[C@@H](C)N1C(Cl)=O,CC1CCC(C)N1C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-5-3-4-6(2)9(5)7(8)10/h5-6H,3-4H2,1-2H3",UWSQEHVMGKICDS-UHFFFAOYSA-N,DTXCID20885891,-,1,-,-,6,-,-,-,-,-,-
"(2R,5R)-2,5-Dimethylpyrrolidine-1-carbonyl chloride",168253-01-8,DTXSID30664538,C[C@@H]1CC[C@@H](C)N1C(Cl)=O,CC1CCC(C)N1C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-5-3-4-6(2)9(5)7(8)10/h5-6H,3-4H2,1-2H3",UWSQEHVMGKICDS-UHFFFAOYSA-N,DTXCID20885891,-,1,-,-,7,-,-,-,-,-,-
Hexahydro-1H-azepine-1-carbonyl chloride,27817-35-2,DTXSID20182135,ClC(=O)N1CCCCCC1,ClC(=O)N1CCCCCC1,C7H12ClNO,161.0607417,InChI=1S/C7H12ClNO/c8-7(10)9-5-3-1-2-4-6-9/h1-6H2,VCZFCDMBZCEPFV-UHFFFAOYSA-N,DTXCID30104626,-,4,-,-,21,-,1,-,-,-,-
4-chlorocyclohexane-1-carboxamide,7479-41-6,DTXSID90322607,NC(=O)C1CCC(Cl)CC1,NC(=O)C1CCC(Cl)CC1,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c8-6-3-1-5(2-4-6)7(9)10/h5-6H,1-4H2,(H2,9,10)",WGSUZNGDADSXEA-UHFFFAOYSA-N,DTXCID90273726,-,2,-,-,13,-,-,-,-,-,-
2-(Aminomethyl)-1-chlorobicyclo[2.1.1]hexan-2-ol,89448-39-5,DTXSID80533109,[H]C12CC(Cl)(C1)C(O)(CN)C2,[H]C12CC(Cl)(C1)C(O)(CN)C2,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c8-6-1-5(2-6)3-7(6,10)4-9/h5,10H,1-4,9H2",XKVLMKIPHGKBJV-UHFFFAOYSA-N,DTXCID80979740,-,1,-,-,5,-,-,-,-,-,-
2-(Aminomethyl)-1-chlorobicyclo[2.1.1]hexan-2-ol--hydrogen chloride (1/1),89448-40-8,DTXSID90533110,Cl.[H]C12CC(Cl)(C1)C(O)(CN)C2,[H]C12CC(Cl)(C1)C(O)(CN)C2,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c8-6-1-5(2-6)3-7(6,10)4-9/h5,10H,1-4,9H2",XKVLMKIPHGKBJV-UHFFFAOYSA-N,DTXCID80979740,-,1,-,-,5,-,-,-,-,-,-
2-Ethylpyrrolidine-1-carbonyl chloride,89629-92-5,DTXSID00664545,CCC1CCCN1C(Cl)=O,CCC1CCCN1C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-2-6-4-3-5-9(6)7(8)10/h6H,2-5H2,1H3",XRMIBIVWQXPWND-UHFFFAOYSA-N,DTXCID60885895,-,1,-,-,10,-,-,-,-,-,-
1-Methylpiperidine-3-carbonyl chloride,193538-44-2,DTXSID40601772,CN1CCCC(C1)C(Cl)=O,CN1CCCC(C1)C(Cl)=O,C7H12ClNO,161.0607417,"InChI=1S/C7H12ClNO/c1-9-4-2-3-6(5-9)7(8)10/h6H,2-5H2,1H3",ZKIJYOZMNSWYMI-UHFFFAOYSA-N,DTXCID20864767,-,1,-,-,13,-,-,-,-,-,-
N-phenylpyrrolidin-3-amine,17741-13-8,DTXSID30465007,C1CC(CN1)NC1=CC=CC=C1,C1CC(CN1)NC1=CC=CC=C1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-2-4-9(5-3-1)12-10-6-7-11-8-10/h1-5,10-12H,6-8H2",AAFUQJGCJNFFRT-UHFFFAOYSA-N,DTXCID001005714,-,1,-,-,34,-,-,-,-,-,-
(1E)-2-Methyl-N'-phenylpropanimidamide,14041-89-5,DTXSID60592572,CC(C)C(\N)=N/C1=CC=CC=C1,CC(C)C(\N)=N/C1=CC=CC=C1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-8(2)10(11)12-9-6-4-3-5-7-9/h3-8H,1-2H3,(H2,11,12)",AGHDSXKIGIOMJN-UHFFFAOYSA-N,DTXCID50543336,-,1,-,-,10,-,-,-,-,-,-
2-piperidin-1-ylpyridine,68654-52-4,DTXSID50355855,C1CCN(CC1)C1=CC=CC=N1,C1CCN(CC1)C1=CC=CC=N1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-4-8-12(9-5-1)10-6-2-3-7-11-10/h2-3,6-7H,1,4-5,8-9H2",AJEUJXWLOADTKA-UHFFFAOYSA-N,DTXCID60306914,-,3,-,-,41,-,-,-,-,-,-
Perchloric acid--2-(1-methylpyrrolidin-2-yl)pyridine (2/1),147663-86-3,DTXSID50723717,O[Cl](=O)(=O)=O.O[Cl](=O)(=O)=O.CN1CCCC1C1=CC=CC=N1,CN1CCCC1C1=NC=CC=C1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-12-8-4-6-10(12)9-5-2-3-7-11-9/h2-3,5,7,10H,4,6,8H2,1H3",AQCRXZYYMOXFAN-UHFFFAOYSA-N,DTXCID601020683,-,1,-,-,7,-,-,-,-,-,-
"N-(2,6-Dimethylphenyl)-N'-methylmethanimidamide",42571-94-8,DTXSID80785484,C\N=C\NC1=C(C)C=CC=C1C,C\N=C\NC1=C(C)C=CC=C1C,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-8-5-4-6-9(2)10(8)12-7-11-3/h4-7H,1-3H3,(H,11,12)",AZSXWIHSJCWLFK-UHFFFAOYSA-N,DTXCID10736227,-,1,-,-,4,-,-,-,-,-,-
"1-Methyl-2,3-dihydro-1H-indene-4,7-diamine",917805-30-2,DTXSID60730139,CC1CCC2=C(N)C=CC(N)=C12,CC1CCC2=C1C(N)=CC=C2N,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-6-2-3-7-8(11)4-5-9(12)10(6)7/h4-6H,2-3,11-12H2,1H3",BDTXWMGGWAYDTD-UHFFFAOYSA-N,DTXCID20996794,-,1,-,-,7,-,-,-,-,-,-
"(1,2,3,4-Tetrahydronaphthalen-1-yl)hydrazine",98074-64-7,DTXSID90578743,NNC1CCCC2=CC=CC=C12,NNC1CCCC2=CC=CC=C12,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c11-12-10-7-3-5-8-4-1-2-6-9(8)10/h1-2,4,6,10,12H,3,5,7,11H2",BEFSPYNDXHSFPF-UHFFFAOYSA-N,DTXCID80948451,-,1,-,-,14,-,-,-,-,-,-
(8-Methyl-8-azabicyclo[3.2.1]octan-3-ylidene)acetonitrile,91817-61-7,DTXSID90596689,[H]C12CCC([H])(CC(C1)=CC#N)N2C,[H]C12CCC([H])(CC(C1)=CC#N)N2C,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-12-9-2-3-10(12)7-8(6-9)4-5-11/h4,9-10H,2-3,6-7H2,1H3",BEMIIPSHLWBOLS-UHFFFAOYSA-N,DTXCID60863693,-,1,-,-,9,-,-,-,-,-,-
2-pyrrolidin-1-ylaniline,21627-58-7,DTXSID60359086,NC1=CC=CC=C1N1CCCC1,NC1=CC=CC=C1N1CCCC1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c11-9-5-1-2-6-10(9)12-7-3-4-8-12/h1-2,5-6H,3-4,7-8,11H2",BFPUBGCFJMIZDF-UHFFFAOYSA-N,DTXCID50310141,-,2,-,-,62,-,-,-,-,-,-
"3-methyl-2,3,4,5-tetrahydro-1H-1,5-benzodiazepine",133405-86-4,DTXSID60415898,CC1CNC2=CC=CC=C2NC1,CC1CNC2=CC=CC=C2NC1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-8-6-11-9-4-2-3-5-10(9)12-7-8/h2-5,8,11-12H,6-7H2,1H3",BGDQHQHPELLNKQ-UHFFFAOYSA-N,DTXCID30366747,-,2,-,-,19,-,-,-,-,-,-
"5-Cyclopropyl-N,N-dimethylpyridin-2-amine",1245645-43-5,DTXSID40745105,CN(C)C1=NC=C(C=C1)C1CC1,CN(C)C1=NC=C(C=C1)C1CC1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-12(2)10-6-5-9(7-11-10)8-3-4-8/h5-8H,3-4H2,1-2H3",BJBLCBSSWLWCPO-UHFFFAOYSA-N,DTXCID50695849,-,1,-,-,11,-,-,-,-,-,-
"2-Methyl-2,3-dihydro-1H-indene-4,7-diamine",917805-31-3,DTXSID80730131,CC1CC2=C(N)C=CC(N)=C2C1,CC1CC2=C(N)C=CC(N)=C2C1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-6-4-7-8(5-6)10(12)3-2-9(7)11/h2-3,6H,4-5,11-12H2,1H3",BOPDDZMXSVMRIX-UHFFFAOYSA-N,DTXCID90680875,-,1,-,-,7,-,-,-,-,-,-
3-(Piperidin-4-yl)pyridine,161609-89-8,DTXSID50405602,C1CC(CCN1)C1=CN=CC=C1,C1CC(CCN1)C1=CN=CC=C1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-2-10(8-12-5-1)9-3-6-11-7-4-9/h1-2,5,8-9,11H,3-4,6-7H2",BRBPGGIIQVBPSB-UHFFFAOYSA-N,DTXCID20356455,-,1,-,-,33,-,-,-,-,-,-
"2,6-Dimethyl-4-methylideneheptanedinitrile",62722-58-1,DTXSID20607010,CC(CC(=C)CC(C)C#N)C#N,CC(CC(=C)CC(C)C#N)C#N,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-8(4-9(2)6-11)5-10(3)7-12/h9-10H,1,4-5H2,2-3H3",BZUFWXZPPANFKK-UHFFFAOYSA-N,DTXCID30866151,-,1,-,-,8,-,-,-,-,-,-
"2-(2,4-dimethylphenyl)ethanimidamide",802269-53-0,DTXSID90407387,CC1=CC(C)=C(CC(N)=N)C=C1,CC1=CC(C)=C(CC(N)=N)C=C1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-7-3-4-9(6-10(11)12)8(2)5-7/h3-5H,6H2,1-2H3,(H3,11,12)",CBGUKTNAZXFTFR-UHFFFAOYSA-N,DTXCID40358239,-,1,-,-,20,-,-,-,-,-,-
"2-Methyl-1,2,3,4-tetrahydroquinolin-6-amine",649569-61-9,DTXSID30595919,CC1CCC2=C(N1)C=CC(N)=C2,CC1CCC2=CC(N)=CC=C2N1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-7-2-3-8-6-9(11)4-5-10(8)12-7/h4-7,12H,2-3,11H2,1H3",COFHVMXNLAGVTB-UHFFFAOYSA-N,DTXCID30863529,-,1,-,-,12,-,-,-,-,-,-
"2,3,4,5-Tetrahydro-1H-2-benzazepin-8-amine",72232-25-8,DTXSID20658461,NC1=CC2=C(CCCNC2)C=C1,NC1=CC2=C(CCCNC2)C=C1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c11-10-4-3-8-2-1-5-12-7-9(8)6-10/h3-4,6,12H,1-2,5,7,11H2",DAEJBLXGXUDKSD-UHFFFAOYSA-N,DTXCID60609210,-,2,-,-,16,-,-,-,-,-,-
2-Ethanimidoyl-6-ethylaniline,148121-17-9,DTXSID10669309,CCC1=C(N)C(=CC=C1)C(C)=N,CCC1=CC=CC(C(C)=N)=C1N,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-3-8-5-4-6-9(7(2)11)10(8)12/h4-6,11H,3,12H2,1-2H3",DANNHLPYEHMEPI-UHFFFAOYSA-N,DTXCID50887429,-,1,-,-,9,-,-,-,-,-,-
"1-Ethyl-2,3-dihydro-1H-indol-6-amine",143543-67-3,DTXSID60594056,CCN1CCC2=C1C=C(N)C=C2,CCN1CCC2=C1C=C(N)C=C2,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-2-12-6-5-8-3-4-9(11)7-10(8)12/h3-4,7H,2,5-6,11H2,1H3",DASPMFXHFCNQHX-UHFFFAOYSA-N,DTXCID60544819,-,1,-,-,27,-,-,-,-,-,-
"(1,2,3,4-Tetrahydronaphthalen-2-yl)hydrazine",1743-07-3,DTXSID00576533,NNC1CCC2=CC=CC=C2C1,NNC1CCC2=CC=CC=C2C1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c11-12-10-6-5-8-3-1-2-4-9(8)7-10/h1-4,10,12H,5-7,11H2",DDYZUEUSICJQGM-UHFFFAOYSA-N,DTXCID00947921,-,1,-,-,16,-,-,-,-,-,-
"[(2,3-Dihydro-1H-inden-5-yl)methyl]hydrazine",51860-04-9,DTXSID00633034,NNCC1=CC2=C(CCC2)C=C1,NNCC1=CC2=C(CCC2)C=C1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c11-12-7-8-4-5-9-2-1-3-10(9)6-8/h4-6,12H,1-3,7,11H2",DIWDIDLCINRQFW-UHFFFAOYSA-N,DTXCID40583786,-,1,-,-,17,-,-,-,-,-,-
"5,8-Dimethyl-1,2,3,4-tetrahydroquinoxaline",66102-39-4,DTXSID80216309,CC1=C2NCCNC2=C(C)C=C1,CC1=C2NCCNC2=C(C)C=C1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-7-3-4-8(2)10-9(7)11-5-6-12-10/h3-4,11-12H,5-6H2,1-2H3",DJVBBBRKTTVZCV-UHFFFAOYSA-N,DTXCID30138800,-,4,-,-,13,-,-,-,-,-,-
"1,6-Dimethyl-1,2,3,4-tetrahydroquinoxaline",912284-80-1,DTXSID60856964,CN1CCNC2=C1C=CC(C)=C2,CN1CCNC2=C1C=CC(C)=C2,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-8-3-4-10-9(7-8)11-5-6-12(10)2/h3-4,7,11H,5-6H2,1-2H3",DMDDKWCMXYOTBQ-UHFFFAOYSA-N,DTXCID70807705,-,1,-,-,10,-,-,-,-,-,-
3-(pyrrolidin-1-yl)aniline,115833-93-7,DTXSID90363999,NC1=CC(=CC=C1)N1CCCC1,NC1=CC(=CC=C1)N1CCCC1,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c11-9-4-3-5-10(8-9)12-6-1-2-7-12/h3-5,8H,1-2,6-7,11H2",DNPBFTQZONVQDX-UHFFFAOYSA-N,DTXCID00315045,-,1,-,-,67,-,-,-,-,-,-
"Quinoxaline, 1,2,3,4-tetrahydro-6,7-dimethyl-",10579-68-7,DTXSID40147347,CC1=CC2=C(NCCN2)C=C1C,CC1=CC2=C(NCCN2)C=C1C,C10H14N2,162.1156985,"InChI=1S/C10H14N2/c1-7-5-9-10(6-8(7)2)12-4-3-11-9/h5-6,11-12H,3-4H2,1-2H3",DPSZEBZGBCWUBN-UHFFFAOYSA-N,DTXCID0069838,-,3,-,-,21,-,-,-,-,-,-
